Codering maatstaf,Naam maatstaf,Sociale basisvoorzieningen,Participatie,Individuele voorzieningen Wmo,Individuele voorzieningen Jeugd,Bestuur en ondersteuning,Orde en veiligheid,Onderwijs,Sport. cultuur en recreatie,Infrastructuur. ruimte en milieu,Overig,Overige eigen middelen,Onroerendezaakbelasting,Totaal
buiwamax,oppervlakte buitenwater,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39.89,0.00,0.00,0.00,39.89
histk40,oppervlakte historische kern < 40 ha,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18619.46,15125.98,0.00,0.00,0.00,33745.44
histk65,oppervlakte historische kern > 65 ha,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18619.46,15125.98,0.00,0.00,0.00,33745.44
histk4164,oppervlakte historische kern 40 tot 65 ha,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18619.46,15125.98,0.00,0.00,0.00,33745.44
landbftot,oppervlakte land * bodemfactor gemeente,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.72,0.00,0.00,0.00,25.72
land,oppervlakte land,0.00,0.00,0.00,0.00,0.00,0.00,25.26,0.00,13.74,0.00,0.00,0.00,39.00
WOZnwe70,ozb niet-woningen eigenaren,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.002796,-0.002796
WOZnwg70,ozb niet-woningen gebruikers,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.002127,-0.002127
WOZwe80,ozb woningen eigenaren,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000857,-0.000857
vast,vast bedrag,0.00,0.00,0.00,0.00,527833.90,0.00,0.00,0.00,399941.03,0.00,0.00,49821.63,977596.56
Amsterdam,vast bedrag Amsterdam,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,74175269.15,0.00,0.00,74175269.15
Den Haag,verkiezingen Den Haag,0.00,0.00,0.00,0.00,707103.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,707103.84
Rotterdam,vast bedrag Rotterdam,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27064336.61,0.00,0.00,27064336.61
woonr,woonruimten,0.00,0.00,0.00,0.00,82.83,56.12,0.00,0.00,-65.05,0.00,0.00,-62.09,11.81
woonrbfk,woonruimten ∗ bodemfactor woonkern,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52.99,0.00,0.00,0.00,52.99
